Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
7.7.2016;07:09:00;Banaslys;Reykjanesbraut,Hafnavegur   -  Á eða við akbraut;Hliðarákeyrsla;Þungt bifhjól;Vörubifreið II;;;;45 ára Karl, Ökumaður, Vörubifreið II, Lítið slasaður;34 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;
24.6.2016;10:03:00;Banaslys;Norðurlandsvegur, Öxnadalsheiði, Grjótá, vestan við  -  Á eða við akbraut;Framanákeyrsla;Ökutæki ekki í Ekju;Fólksbifreið;Hópbifreið II;Fólksbifreið;;62 ára Karl, Ökumaður, Fólksbifreið, Látinn;45 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;54 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður;75 ára Karl, Ökumaður, Hópbifreið II, Lítið slasaður;;
20.6.2016;12:30:00;Banaslys;Suðurlandsvegur, Gatnabrún;Útafakstur og bílveltur;Vörubifreið II;Ökutæki ekki í Ekju;;;;54 ára Karl, Ökumaður, Vörubifreið II, Látinn;;;;;
5.6.2016;13:55:00;Banaslys;Hvalfjarðargöng, ;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;71 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;67 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;60 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;67 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;67 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;
30.5.2016;17:05:00;Banaslys;Þingvallavegur, Leirvogsá, þar við.;Ekið á hlut á eða við akbraut;Þungt bifhjól;;;;;37 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
9.4.2016;04:40:00;Banaslys;Holtavörðuheiði, Tangavatn, mót við;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Karl, Farþegi í aftursæti m, Fólksbifreið, Látinn;;;;;
17.2.2016;16:40:00;Banaslys;Ólafsvíkurhöfn,   -  Bryggja;Annað;Fólksbifreið;;;;;88 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
21.1.2016;16:54:00;Banaslys;Njarðarbraut, Tjarnabraut Frumherji, gegnt  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;82 ára Kona, Ökumaður, Fólksbifreið, Látinn;11 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;31 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;;
26.12.2015;14:48:00;Banaslys;Suðurlandsvegur, Hólá, brú  -  Á eða við brú;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;46 ára Karl, Ökumaður, Fólksbifreið, Látinn;11 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;44 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;15 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;28 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;23 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður
22.12.2015;16:00:00;Banaslys;Hringvegur, Hlíðarbær við;Framanákeyrsla;Vörubifreið II;Fólksbifreið;;;;18 ára Karl, Ökumaður, Fólksbifreið, Látinn;58 ára Karl, Ökumaður, Vörubifreið II, Lítið slasaður;;;;
21.12.2015;06:34:00;Banaslys;Vesturlandsvegur, Ártúnsbrekka í austur  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;55 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Látinn;;;;;
13.12.2015;16:39:00;Banaslys;Suðurlandsvegur, Lækjarbotnar, við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;20 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;19 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;81 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;
24.10.2015;16:56:00;Banaslys;Einiholt,   -  Á eða við bifreiðastæði;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;3 ára Kona, Fótgangandi, Fólksbifreið, Látinn;;;;;
19.9.2015;16:38:00;Banaslys;Suðurlandsvegur, Geitháls  -  Á eða við akbraut;Annað;Fólksbifreið;Vörubifreið II;;;;18 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
30.8.2015;15:18:00;Banaslys;Hringvegur, Klifandi við;Útafakstur og bílveltur;Fólksbifreið;;;;;69 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;66 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Látinn;70 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;58 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;;
23.6.2015;22:59:00;Banaslys;Vestdalsvegur norðan af Seyðisfirði  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;20 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;;;;
28.5.2015;09:12:00;Banaslys;Útnesvegur, Keflavíkurgata, við;Útafakstur og bílveltur;Fólksbifreið;;;;;32 ára Karl, Farþegi í framsæti, Fólksbifreið, Látinn;38 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;51 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;58 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Lítið slasaður;31 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;31 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður
25.5.2015;16:57:00;Banaslys;Hvítársíðuvegur;Útafakstur og bílveltur;Þungt bifhjól;;;;;32 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
21.4.2015;13:57:00;Banaslys;Biskupstungnabraut, Borg, austan við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;24 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;26 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;65 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;
9.4.2015;20:31:00;Banaslys;Biskupstungnabraut, Sogið, á móts við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;22 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Lítið slasaður;20 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;23 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;24 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;23 ára Karl, Farþegi í aftursæti m, Fólksbifreið, Látinn;
6.4.2015;13:25:00;Banaslys;Vegslóði frá Grund ;Annað;Dráttarvél;;;;;2 ára Karl, Farþegi í aftursæti m, Dráttarvél, Látinn;;;;;
27.3.2015;10:18:00;Banaslys;Suðurlandsvegur, móts við Fjaðrárgljúfur;Útafakstur og bílveltur;Fólksbifreið;;;;;20 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;;;;;
18.3.2015;12:29:00;Banaslys;Vesturgata,  bílastæðahús, 2. hæð;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;89 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
15.2.2015;17:15:00;Banaslys;Nauthólsvegur, Hringbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;77 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
28.8.2014;17:34:00;Banaslys;Hafnarvegur, ;Hliðarákeyrsla;Vörubifreið II;Sendibifreið;Fólksbifreið;;;60 ára Karl, Farþegi í framsæti, Sendibifreið, Lítið slasaður;58 ára Karl, Ökumaður, Sendibifreið, Látinn;;;;
17.3.2014;09:14:00;Banaslys;Ólafsfjarðarvegur,  Hámundastaðaháls;Framanákeyrsla;Sendibifreið;Fólksbifreið;Vörubifreið II;;;38 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;50 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;34 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Látinn;62 ára Karl, Ökumaður, Sendibifreið, Lítið slasaður;;
12.1.2014;12:37:00;Banaslys;Vesturlandsvegur, ;Framanákeyrsla;Fólksbifreið;Vörubifreið I;;;;18 ára Karl, Ökumaður, Fólksbifreið, Látinn;16 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;;;;
29.12.2024;14:08:00;Alvarleg slys;Kópavogsháls, Salurinn, hjá strætó biðstöðinni í Hamraborg  -  Gangbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;22 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
26.12.2024;12:24:00;Alvarleg slys;Suðurlandsvegur, Vattará;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;12 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;34 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;31 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;22 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;22 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;
18.12.2024;11:46:00;Alvarleg slys;Kópavogstorg,   -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;68 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
17.12.2024;18:15:00;Alvarleg slys;Hafnarberg, Bílaplanið  -  Á eða við bifreiðastæði;Útafakstur og bílveltur;Dráttarvél;;;;;29 ára Karl, Ökumaður, Dráttarvél, Lítið slasaður;3 ára Karl, Farþegi í framsæti m, Dráttarvél, Alvarlega slasaður;;;;
15.12.2024;15:37:00;Alvarleg slys;Suðurlandsvegur, Efsta-Grund, rétt austan við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;21 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;21 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;;;;
10.12.2024;05:40:00;Alvarleg slys;Reykjanesbraut, Kúagerði  -  Á eða við bifreiðastæði;Útafakstur og bílveltur;Fólksbifreið;;;;;51 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;30 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
8.12.2024;09:59:00;Alvarleg slys;Suðurlandsvegur, Kálfadalur, við;Útafakstur og bílveltur;Fólksbifreið;;;;;39 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Alvarlega slasaður;42 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;;;;
7.12.2024;15:59:00;Alvarleg slys;Suðurlandsvegur, Paradísarhellir, móts við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;34 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;20 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;18 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
4.12.2024;18:16:00;Alvarleg slys;Suðurlandsvegur, Móts við Sléttaleiti;Útafakstur og bílveltur;Hópbifreið II;;;;;26 ára Karl, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;27 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;30 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;23 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;25 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Alvarlega slasaður;33 ára Karl, Ökumaður, Hópbifreið II, Alvarlega slasaður
30.11.2024;15:05:00;Alvarleg slys;Snæfellsnesvegur, Fróðárheiði, sæluhús sunnan við,  -  Á eða við akbraut;Útafakstur og bílveltur;Hópbifreið II;;;;;53 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;50 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;9 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;12 ára Karl, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;59 ára Karl, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður;68 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður
30.11.2024;14:50:20;Alvarleg slys;Skeiðarvogur Suðurlandsbraut við;Slys á óvörðum vegfaranda;Fólksbifreið;Ökutæki ekki í Ekju;;;;24 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
26.11.2024;17:46:00;Alvarleg slys;Langholtsvegur, hús nr. 122, við;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;55 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
25.11.2024;11:45:00;Alvarleg slys;Stuðlaháls, gatnamótin;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;43 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;56 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
22.11.2024;07:44:00;Alvarleg slys;Njarðargata - Bolafótur;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;33 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
21.11.2024;18:42:00;Alvarleg slys;Gatnamót Sæbrautar og Snorrabrautar;Slys á óvörðum vegfaranda;Fólksbifreið;Ökutæki ekki í Ekju;;;;39 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
17.11.2024;19:14:00;Alvarleg slys;Biskupstungnabraut, Þrastarlundur, Við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Vörubifreið I;Dráttarvél;;;52 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;26 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;56 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;63 ára Kona, Farþegi í framsæti, Vörubifreið I, Lítið slasaður;65 ára Karl, Ökumaður, Vörubifreið I, Lítið slasaður
15.11.2024;13:33:00;Alvarleg slys;Höfðabakki, Stórhöfði við  -  Á eða við akbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;26 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
12.11.2024;07:45:00;Alvarleg slys;Sóleyjargata/Njarðargata  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;35 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
9.11.2024;16:50:00;Alvarleg slys;Vesturlandsvegur í norður, hringtorg Lambhagavegur við;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;19 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;3 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;18 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;27 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
4.11.2024;17:27:00;Alvarleg slys;Vörðutorg, Kríuás  -  Gangbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;6 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
2.11.2024;21:58:00;Alvarleg slys;Brúarvogur, Barkarvogur, við;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;20 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;20 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
31.10.2024;16:46:00;Alvarleg slys;Hringvegur, Bólstaðarhlíðará, norðan við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;17 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;42 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;17 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;20 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
31.10.2024;16:15:00;Alvarleg slys;Norðausturvegur, Knútsstaðir, við;Framanákeyrsla;Vörubifreið I;Fólksbifreið;;;;55 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
29.10.2024;11:56:00;Alvarleg slys;Sæbraut,   Miklubraut  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;Fólksbifreið;;;;30 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;48 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;32 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
28.10.2024;07:04:00;Alvarleg slys;Reykjanesbraut, Álver, við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;22 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;26 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;71 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
25.10.2024;19:51:00;Alvarleg slys;Norðurlandsvegur, Vatnshorn, norðan við;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;18 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;18 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
25.10.2024;08:23:00;Alvarleg slys;Kvíabryggjuvegur,   -  Á eða við akbraut;Útafakstur og bílveltur;Sendibifreið;;;;;42 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;;;;;
24.10.2024;12:28:00;Alvarleg slys;Hafnarfjarðarvegur, Olís;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;82 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
22.10.2024;08:28:00;Alvarleg slys;Hlíðarhjalli, Hjallakirkju, við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;13 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
19.10.2024;19:24:00;Alvarleg slys;Kambsvegur  - Kleppsvegur;Slys á óvörðum vegfaranda;Fólksbifreið;Ökutæki ekki í Ekju;;;;23 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
12.10.2024;15:05:00;Alvarleg slys;Kjalvegur, Slóði við Hvítárvatn;Útafakstur og bílveltur;Þungt bifhjól;;;;;35 ára Karl, Farþegi í framsæti, Þungt bifhjól, Alvarlega slasaður;;;;;
10.10.2024;15:45:00;Alvarleg slys;Norðausturvegur, Skjálftavatn, móts við  -  Á eða við akbraut;Framanákeyrsla;Vörubifreið II;Fólksbifreið;;;;6 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;34 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
10.10.2024;11:37:00;Alvarleg slys;Gatnamót Borgarbrautar og Dalsbrautar;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;64 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
9.10.2024;12:00:00;Alvarleg slys;Göngustígur austan megin við Kjarrhólma;Slys á óvörðum vegfaranda;Reiðhjól;;;;;39 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
5.10.2024;15:08:00;Alvarleg slys;Krýsuvíkurvegur, Lambhagatjörn, Við  -  Á eða við akbraut;Útafakstur og bílveltur;Þungt bifhjól;;;;;53 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
4.10.2024;19:34:00;Alvarleg slys;Kringlumýrarbraut, Miklabraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;38 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
4.10.2024;17:10:00;Alvarleg slys;Vesturlandsvegur, Orkan, á móts við;Aftanákeyrsla;Hópbifreið II;Fólksbifreið;Fólksbifreið;Fólksbifreið;Fólksbifreið;30 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;21 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;75 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;;;
3.10.2024;07:55:00;Alvarleg slys;Úlfarsbraut  -  Urðarbrunnur, við ;Slys á óvörðum vegfaranda;Fólksbifreið;Ökutæki ekki í Ekju;;;;8 ára Karl, Fótgangandi, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
2.10.2024;11:21:00;Alvarleg slys;Seyðisfjarðarvegur, Borgarfjarðarvegur, gatnamót;Hliðarákeyrsla;Fólksbifreið;Sendibifreið;;;;33 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;34 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;54 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;;;
1.10.2024;16:54:00;Alvarleg slys;Suðurlandsvegur- Hvammsvegur;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;22 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;61 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;56 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;82 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;
28.9.2024;16:00:00;Alvarleg slys;Línuvegur, Hvammsveg, við  -  Utan vegar;Útafakstur og bílveltur;Dráttarvél;;;;;60 ára Kona, Ökumaður, Dráttarvél, Alvarlega slasaður;;;;;
28.9.2024;13:12:00;Alvarleg slys;Hagabraut  -  Ketilsstaðir, austan við ;Útafakstur og bílveltur;Dráttarvél;;;;;71 ára Karl, Ökumaður, Dráttarvél, Alvarlega slasaður;;;;;
26.9.2024;14:31:00;Alvarleg slys;Reykjarhólsvegur ;Útafakstur og bílveltur;Fólksbifreið;;;;;27 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
26.9.2024;08:00:00;Alvarleg slys;Helgamagrastræti, Leikskólinn Hólmasól, við  -  Á eða við bifreiðastæði;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;12 ára Kona, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
25.9.2024;07:28:00;Alvarleg slys;Urriðaholtsstræti;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;48 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
24.9.2024;15:54:00;Alvarleg slys;Dalsbraut  -  Hamragerði, vestan við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;71 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
23.9.2024;14:42:00;Alvarleg slys;Strandgata  -  Eimskip ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;62 ára Karl, Fótgangandi, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
22.9.2024;16:48:00;Alvarleg slys;Mývatnssveitarvegur,   -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;45 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
22.9.2024;13:47:00;Alvarleg slys;Breiðholtsbraut við Norðlingaholt;Aftanákeyrsla;Þungt bifhjól;Fólksbifreið;;;;42 ára Kona, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
21.9.2024;01:56:00;Alvarleg slys;Álmakór  -  Göngustígur vestan við nr.22  ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;49 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
19.9.2024;10:44:00;Alvarleg slys;Hafnarfjarðarvegur, Vífilsstaðavegur, við;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;68 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;82 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
16.9.2024;13:41:00;Alvarleg slys;Katrínartún,   -  Í/við hringtorg;Aftanákeyrsla;Hópbifreið II;Sendibifreið;;;;;;;;;
15.9.2024;16:31:00;Alvarleg slys;Austursíða,   -  Á/við gatnamót;Hliðarákeyrsla;Sendibifreið;Fólksbifreið;;;;28 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
13.9.2024;17:53:00;Alvarleg slys;Línuvegur  -  U.þ.b 200m frá bifreiðastæðinu við Helgufoss;Fall af bifhjóli;Torfæruhjól;;;;;14 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;;
12.9.2024;16:08:00;Alvarleg slys;Vallhólmi  -  12, utan við - gangstétt;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;25 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
10.9.2024;23:03:00;Alvarleg slys;Austurstræti  -  Pósthússtræti, við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;25 ára Kona, Farþegi reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
10.9.2024;13:29:00;Alvarleg slys;Laufrimi  -  Ofan við leikskólann Laufskála ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;41 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
9.9.2024;15:18:00;Alvarleg slys;Vallakór, Krónan, við  -  Á eða við bifreiðastæði;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;84 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
7.9.2024;16:29:00;Alvarleg slys;Suðurlandsvegur, Heiðmerkurvegur  -  Á eða við akbraut;Hliðarákeyrsla;Hópbifreið II;Fólksbifreið;;;;57 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;58 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;17 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;;;
5.9.2024;16:40:00;Alvarleg slys;Hringvegur  -  Biskupsháls ;Útafakstur og bílveltur;Fólksbifreið;;;;;42 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;;
